GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
BCL2	273.285496239349	329.127902575395	265.135195252167	446.553770173975	185.861838089705	358.664358015555	646.343477759117	516.716379407476	139.891043978064	1132.74888326389	246.731565788865	295.43771491068	159.377908656445	367.789807434577	365.913931999134	170.083646686427	110.899286327177	357.965089016007	384.513889136274	386.139721816268	424.359620164169	73.1868892760569	760.051315950635	224.286691339043	711.501932762771	461.633554818408	627.211203606683	427.85137006878	550.823461161286	613.736986659351	481.085503558492	745.717903368351	219.654878774202	271.247124961268	185.993868111655
BCL2L1	1985.54591211011	2708.00206231412	2142.75126547544	1820.89886867058	1305.86044683806	3546.1095944894	2039.16815518369	1153.25104969205	2213.85710295518	1797.62322778835	1151.154529343	1910.85861478926	2703.5833719732	2348.07291908014	1637.03936437984	1538.20173901083	2158.22333335612	2458.02694457658	2002.15968617463	946.881752627719	1777.72273312017	3288.83583684281	1079.46752672849	2278.37897285245	799.368135302752	1566.07392211123	1387.82180499539	2587.30721213266	1537.79717181861	896.180346655984	2954.60512339308	1868.80514896544	5231.15019855499	2048.78147577128	1840.01076667602
BCL6	346.537278736493	401.185490713203	1008.27855502146	377.186194224619	818.274845615715	628.890929123164	1571.85878628743	1512.70592232334	676.682259242729	800.311711001663	581.414762284802	810.420887690765	778.531878410801	1097.74818070539	1071.14921373002	590.947560749923	623.50043201724	445.193363580827	727.68219879553	1137.15349960965	640.509530642799	265.302473625706	1205.1104683641	1612.06059399937	804.72583057958	1284.59004722196	553.490483779778	1278.04529428271	1017.35721118401	457.416133327881	1542.43413756292	2262.7125898576	918.196970731801	1362.00684023105	758.589276369681
BID	39.4432674984627	68.1625833736024	24.2190803355344	61.5637236550528	36.2068515759166	35.6207752823667	27.3102877926388	59.9091454385479	55.305761572723	32.0124684400665	46.6999809064098	37.9461285206378	71.761780861017	24.0910354214788	46.8029447905869	79.455134218477	81.3261433065965	60.8952105452517	26.8746266600622	26.8618936915665	94.4001649845448	59.4643475367962	66.3607086103581	48.595449790126	64.2923433219371	36.848798167323	49.14714655127	139.556670065353	64.6874527342435	47.0738933327722	127.302625557016	75.1731757427773	281.989371399314	48.3339291819281	55.7981604334966
BIRC5	975.516526524479	818.924751674281	502.227244852662	108.386837420868	601.033736160215	332.870003500737	148.689344648811	209.682009034918	712.468340260373	1233.71128372872	119.084951311345	211.414144614982	1075.59227360292	905.822931847604	396.761327429293	528.873237141738	684.495039497188	1720.70115202867	168.483236368851	123.117012753013	695.208691661881	1134.39678377888	2040.37058740648	2452.2011586402	1429.43309985774	206.762700827757	950.178166657886	4343.70135578411	572.385945406034	168.755466664655	1058.38810782868	1488.42887970699	1510.8693688658	1547.40713574979	409.186509845642
BLK	100.016856871102	20.4487750120807	44.6140953549319	128.330015506307	13.2758455778361	25.7943545148173	39.448193478256	52.4205022587294	19.5196805550787	29.5499708677537	35.0249856798073	56.9191927809567	11.6821503727237	101.182348770211	19.1466592325128	27.3127023876015	11.7060357789798	30.4476052726259	20.6727897385094	11.1924557048194	244.381735520737	45.7418057975355	15.9265700664859	7.47622304463477	23.5738592180436	30.7073318061025	19.8928926517045	9.18135987272059	29.4033876064743	138.557119998348	31.0855248453179	27.0623432673998	19.7887278174957	4.32841156853088	25.2420249580104
BLNK	138.051436244619	98.3488702961978	161.885431716467	222.843337737304	111.034344832811	56.5019194134093	112.275627591959	82.3750749780034	118.744723376729	123.12487861564	101.961624978995	98.9309779288058	56.7418732389437	108.409659396655	121.262175139248	68.2817559690037	78.8617147215482	60.8952105452517	181.920549698882	71.631716510844	432.299820957261	164.670500871128	56.6278046808389	144.851821489799	198.234725242639	91.0984176914374	45.6366360833221	56.0062952235956	96.0510661811495	162.538159998062	183.552622896163	75.1731757427773	200.855587347581	56.9907523189899	164.737426041752
BMI1	340.902526236713	455.715557412085	659.013922814279	521.123914319531	505.689027010301	399.198343681696	779.860440300907	636.534670284572	548.177695588461	637.786871229017	550.281441680528	601.717180827257	874.492399329603	577.381815601443	328.684316824803	698.956883828165	1829.83822439842	1138.08211059572	350.403786067734	408.524633225907	395.245550589496	544.327488990673	537.96414446797	1483.09574647942	378.253286544063	574.227104774117	631.891884230614	1211.93950319912	464.573524182294	319.747199996189	1089.473632674	652.503165447307	527.369596336261	1222.77626810997	694.81995015997
BST1	349.354654986384	222.015271559734	536.643832697895	516.788440822697	435.689113963529	260.40015034006	206.344396655493	449.31859078911	214.716486105866	214.237288791214	725.406370079565	390.303036212275	385.510962299882	790.185961824506	162.746603476359	377.411887537766	171.893893807125	130.84241184723	151.945004578044	286.526866043376	196.740530762182	288.173376524474	138.030273909545	171.9531300266	170.374709803133	252.823698536911	496.15214613663	225.861452868927	169.559535197335	288.660666663226	51.8092080755299	60.1385405942219	77.1760384882333	167.365247316527	264.376998244425
BST2	1350.22756775987	3044.91997441793	1369.01538317705	1416.83273876558	2801.20341692341	793.483476979617	892.136067892866	449.31859078911	678.308899288985	499.8870071795	775.219683046402	508.207078401399	1528.69282020213	464.153949120492	562.699040777737	1051.53904192266	2676.36944336254	1437.62071381831	686.336619318511	873.011544975911	1844.77331759517	439.121335656341	388.431347732629	1773.7339173396	652.567284717662	532.260417972444	2092.26423889692	399.389154463346	518.479734794164	2378.56389330498	180.592096720419	861.484594012228	2313.30228186525	836.104834654548	1155.819037551
