	GSM2445681	GSM2445682	GSM2445683	GSM2445684	GSM2445685	GSM2445686	GSM2445687	GSM2445688	GSM2445689	GSM2445690	GSM2445691	GSM2445692	GSM2445693	GSM2445694	GSM2445695	GSM2445696	GSM2445697	GSM2445698	GSM2445699	GSM2445700	GSM2445701	GSM2445702	GSM2445703	GSM2445704	GSM2445705	GSM2445706	GSM2445707	GSM2445708	GSM2445709	GSM2445710	GSM2445711	GSM2445712	GSM2445713	GSM2445714	GSM2445715
ATG12	6.00629724604428	5.53408893444613	6.57199135939038	5.63008425969572	7.08061071215604	6.17884501260216	5.35035631000262	7.01829717684364	6.54164944108664	6.06031325863159	5.82669648086471	5.91254428549956	6.45367694029554	6.45678316427314	5.52679403044736	5.8657460573161	6.52810470039627	6.004413993868	6.52877843010876	6.11694331219707	5.95671947203712	5.83345715689599	6.50290515860737	6.43398546883189	5.70483447114512	6.11769178568504	6.02243514597943	6.56643129809897	7.46311100272619	5.85831928333837	5.8750260684589	7.72058615122103	6.17097774600269	6.70186073837714	5.70329810649282
ATG16L1	9.1280791296258	9.05978742781659	9.20998315663054	8.54898662323095	9.4037364703085	8.79384812932245	9.09156644074895	8.40351795859258	9.98892211090184	9.2998418099603	8.19867677623986	8.64631320768778	9.46695691109817	9.50441062843642	8.60320906730028	9.88508804262374	9.08721290526123	8.71979333729298	9.62740262001869	8.48311997371217	9.05482087398224	8.56602680846214	9.65477975645311	10.1370775280979	8.70942205225625	8.61017699043209	8.74135224592185	9.25714401934962	9.20336457843461	8.8520503131733	9.45699795491153	9.40092517931327	8.77981702501323	8.51305865367653	9.02567103197805
ATG5	9.27163814093954	9.25072328011494	9.84490232419836	8.6224614775294	8.83839367947423	8.64736457065269	9.35684280023843	9.13873132012997	9.53744769788953	8.9551855970536	8.89211862954378	8.59702992103991	9.73273763426921	9.29923789819233	8.43861180995098	9.57659907613726	9.44481781243103	9.42266708039087	8.46126796630963	8.91333188650562	9.58573448058416	8.9933559804455	10.1235622822733	9.96900693161284	9.22293239712901	9.27335563780513	9.14890238823138	10.6892819878518	9.77997677958243	8.24425104635133	9.27901418247121	9.94262055195873	9.78487911451848	10.3933216549126	9.69052416626795
ATG7	9.12460496048024	9.30913802288512	9.5933735377046	9.28699048123201	9.09412047276603	9.21226760411437	9.36355814739687	8.68285309630688	8.9951241764652	9.2587711482464	9.02847134681895	8.76262368408037	9.28070451903308	9.75950615761931	9.17124651139432	10.0078960859895	9.64187867135624	9.17177974286015	9.52924511626313	9.39575141852095	8.6352600840027	8.98008609062018	9.55105543110488	9.46077829828942	9.07446640546258	9.46116201270729	9.21695335646756	9.27603331467797	9.237891818299	9.03176917807178	9.61541581001833	9.26235150868206	9.1265344113407	8.76345056012763	9.3298064867073
ATM	5.02917719625439	5.05517471829038	4.9159695288287	4.86319543348148	5.38922264984943	4.6836722780488	5.55195396372367	4.096204820652	5.3656612085706	5.82333857535645	5.05348787539447	4.87213607122071	5.1933071906052	4.99122775427764	5.73987673017087	4.33075256463921	4.86846894648063	6.09157546167821	5.40713609874044	4.29833779286369	5.46081870480622	5.26143525125488	5.64957062621105	5.46677320630192	5.13401337385593	5.00558183597209	5.28134932310459	5.81939897431628	5.3862363767713	5.31765418016661	5.90918995119167	5.94086421132216	4.94853742228905	5.15575499032706	4.93534769960731
AXL	9.90776210678881	9.57597610062769	9.98923773069065	9.92833960377122	9.49297200712401	10.4520762766531	9.63179122093585	9.81581665834688	9.97458140645906	8.92550047637377	10.657834261468	9.98050445458454	10.8413137018052	9.23455724695734	8.70093392108035	10.1390929720486	10.7211362831969	8.88017590126237	9.4914413138505	10.4288821510774	8.31114098940884	8.15819604631663	8.58417015144021	9.14574697981653	9.08096732612842	9.13391542955982	10.3371684811697	8.43369149996472	9.1211971353868	9.92537736651921	7.9492130093597	8.85988867602426	8.5534764187658	9.21695286747558	9.13662944870548
BAGE	4.61935334832421	4.18145319635635	4.55837155378541	4.030559255808	4.53735087769342	5.32132809376218	4.48808693247783	6.6070665357381	3.85087314582455	5.75747053596698	4.91020716653376	5.2234132354287	4.19786375339855	4.4812808360599	6.25744448222308	5.09279186031331	4.0986820432428	6.14145173212607	4.7850225725154	4.88856149240564	4.04551907813066	5.83345715689599	4.70570505385218	4.11656368673361	4.2696808293254	5.13888401531719	4.83013444510838	4.53632132021474	5.45493683862278	4.65554948627997	5.23241330286861	5.21989784780823	4.62658836961151	4.98704724041097	4.93534769960731
BATF	7.38571884751824	7.94074174266429	7.57424887858445	6.07451490226201	7.54496962081713	7.80976312689013	6.94710561774861	5.62219430457544	6.98485875452271	7.81979554003388	6.57313478257825	6.79921434405474	5.99870488590482	7.86449450358255	5.38922567758674	7.17869190476004	6.8800730955011	6.32531716209567	7.99906510180141	6.81910613064982	8.79467478783567	6.32829080611606	6.50290515860737	5.52808183260275	7.49174386056314	6.84609254894389	5.12819963029738	5.29766362560994	6.45481087820436	7.55758448917631	5.76739434943618	5.83034483831932	5.39922132224696	5.44348922444097	6.42131556536823
BAX	9.96327525580139	9.44663727102454	10.3604472056916	10.2779155743281	9.91914556476774	9.93681019663329	9.88147216287485	9.19916477805502	10.0494688579321	10.5552173369949	9.81964985083216	9.68982884583518	10.7812881110286	10.3240512287187	10.1580968049627	10.5623290325689	10.1097030694515	10.2446304312265	10.1698048463705	10.1450966907034	9.9655397703629	10.050207303097	11.0486694632197	11.4680262357537	9.69499205023622	9.70461890883708	10.3956668099742	11.2917473164715	10.74009358599	9.97943651165362	10.9985274290509	11.1886259901745	10.7747444989436	10.4998566399649	10.1197106887032
BCL10	10.128489348059	10.7103404971494	10.6423231128752	10.238832260801	9.93127815855659	10.9187387812541	9.77970754402652	9.53238122206188	10.5134873640899	9.99357682569133	9.73048722016999	10.747694777326	11.7005390163809	10.5420846637316	9.93061727553412	10.4604322824696	10.8267182161874	10.1070589285672	11.0898635921587	10.1163002738029	10.240484412199	9.33308472001828	10.4894353030077	10.8152706702941	9.91106090019242	9.98841465240445	10.2578538236751	10.6114761334217	10.0646040827113	9.36404134894321	11.3458703207573	11.2291206894614	11.3329003506186	10.345264730407	10.1761088903031
BCL2	8.03403946472374	8.41511183936725	8.11238438894148	8.77875390181609	7.49913091390558	8.5706051562398	9.35009604875733	9.11801087461516	7.18080704334933	10.1842506472748	7.96487508528674	8.20151854583249	7.45272408338819	8.50174638319369	8.49838045042939	7.45475137382222	6.92856311812713	8.44648130065077	8.6292757163246	8.7479689413597	8.69637519761592	6.24198056908103	9.69561030639218	7.85431456756343	9.66068364184983	8.87194075063431	9.45294330184803	8.87888384907464	9.16543050740289	9.22316719763992	8.83952670414508	9.55077381508004	7.84261927767566	8.21371772771791	7.5637738116383
BCL2L1	10.890208793049	11.4518003275237	11.1223470277348	10.8039491018859	10.3047839073547	11.8726269486375	11.0061514760597	10.2747996143642	11.1553899646403	10.8500419191549	10.1822730759887	10.8905500859355	11.5290879043707	11.1728168956337	10.6567066643389	10.6241441379513	11.1994946574245	11.2224560407608	11.0066971945295	10.0399868452472	10.7603231010494	11.7125497024324	10.2012323192245	11.1931193024735	9.82847469133952	10.6320398792052	10.5975826602394	11.4725229639488	10.6449758964943	9.76855379966902	11.4554151096294	10.8749997532905	12.4102366407427	11.1264651979134	10.8631005126606
BCL6	8.37544510244371	8.69995268724849	10.0355249344716	8.5358174795291	9.63113878138262	9.37910420829206	10.6308566083257	10.6659401831182	9.44685399836841	9.68358566163746	9.19808088897486	9.65413227921489	9.73428289300498	10.0766180270657	10.0452621808902	9.24550624733534	9.40966375642904	8.76026163996815	9.54778191866204	10.3039220478495	9.28910137138229	8.08570809625971	10.3599465843435	10.694279221354	9.83810111321824	10.3464002699304	9.27283219103109	10.4555448883245	10.0494105183002	8.79990135537244	10.5181419071472	11.1507995196327	9.90126273421204	10.5377673540723	9.58591135540573
BID	5.27462849374511	6.16004736790044	4.7121980674333	5.94102691466436	5.17271357305061	5.27369642986275	4.8359020981064	6.02968774763345	5.85754772934401	5.08235878910724	5.58862064374776	5.27446280518033	6.31185499968284	4.62663150445494	5.55922991421318	6.36632592835563	6.48552265067519	5.9116460699528	4.83953652273934	4.9478752496771	6.54038633230435	5.94693317070755	6.19648273604282	5.67084032079738	6.21085578477842	5.2609044066644	5.80383869387883	7.26911570729694	6.09467103519585	5.5480998650142	6.93046086868359	6.25795773260682	8.20159319864486	5.74806583711895	5.84497573841669
BIRC5	9.8657197861794	9.72759458581853	9.03146541166532	6.74660221286863	9.18667480241374	8.46323175513582	7.23767900306793	7.82074276013408	9.52109464159049	10.3073231155497	6.92027003714984	7.72073649502416	10.2001054005363	9.79966269563753	8.61482876704381	9.08568473421963	9.54411904325887	10.7082176908264	7.4436373746084	7.10622372451031	9.40714099767444	10.1777367264908	11.1191505380084	11.2991440146731	10.6662669643966	7.71706372547421	10.051470876321	12.2197855535612	9.22073148612077	7.36700665788794	9.97526402444525	10.5468755997332	10.6191578370395	10.7217667506121	8.69699718655728
BLK	6.5936386541496	4.47066082164486	5.56746569563232	6.98812426121834	3.79455340124969	4.82255801422077	5.35035631000262	5.84028066832245	4.40117505673305	4.97052329625639	5.18381546896628	5.846601557089	3.78585598706851	6.65055867779065	4.31443667753774	4.8596605119805	3.78423955405052	4.93606438755627	4.47647485052655	3.75056398834572	7.90285372322609	5.5756129262304	4.20022059192644	3.12217685569717	4.79755808748216	5.00558183597209	4.5374904236952	3.47351426127054	4.98296590449851	7.08450917877093	4.93364952449397	4.8180588270875	4.43392832163259	2.52319634033303	4.73147334068592
BLNK	7.05436620717861	6.68259878386213	7.40404188035366	7.77933427704802	6.76141808149239	5.92504526744027	6.83560467737826	6.48291747894832	6.94618523943898	6.99302701126578	6.69835925236909	6.63312705119229	5.97798417171486	6.74911029892286	6.91325264754571	6.15062303175153	6.44164544067788	5.9116460699528	7.55371170048191	6.33257675638879	8.72305441330419	7.40098296811161	5.9711341469741	7.22705713796994	7.82176017468781	6.54350345589338	5.69896334395056	5.966192103032	6.657886202508	7.31319435427893	7.45466313971083	6.25795773260682	7.71414366940967	5.98156150238267	7.38969775886854
BMI1	8.35186761670688	8.88339026211481	9.42275991790004	9.00106339334252	8.93795887761809	8.72468053737632	9.62062202415889	9.41837505658657	9.14351693016119	9.35655734973942	9.11882565167804	9.22518449586223	9.90178162376221	9.1509051893719	8.34404297296881	9.48730213518212	10.9614797227966	10.1122793374228	8.49562275931663	8.82908009491571	8.59410024782509	9.11974496395865	9.19776134955639	10.574062786035	8.75078133135604	9.18619353056612	9.46365403991502	10.3789811899887	8.92022666357569	8.28475722135828	10.0169845271813	9.35841107498487	9.10242187716882	10.3823074070744	9.45940858556241
BST1	8.38709090748591	7.84921614696938	9.12690831898594	8.98903500528852	8.72349301975774	8.11017167900278	7.70768487367113	8.91677715650828	7.79537139514691	7.78715643016826	9.51680151512657	8.60203470275559	8.72207195410522	9.60286924678528	7.33461193288105	8.5999971806745	7.55650663876128	7.0018503106738	7.29550814769574	8.31871464030094	7.59151061109057	8.204573879926	7.24253217843752	7.4729342990604	7.60433271911929	8.00593531114314	9.1153332003017	7.96002561773416	7.47142591104363	8.1377118635463	5.65108074771293	5.94086421132216	6.34547957008571	7.52020595022348	8.06879051105136
