gene_id	string_protein_id	propagate_score
RNF5	9606.ENSP00000364235	3.1991536886944156e-05
CANX	9606.ENSP00000247461	0.00011031153105237367
PRSS1	9606.ENSP00000308720	2.3295659822744778e-05
GOPC	9606.ENSP00000357484	2.2833526660860962e-05
CLCA2	9606.ENSP00000359596	5.33740569134084e-06
SCNN1B	9606.ENSP00000345751	2.4715191258260368e-05
PDZD3	9606.ENSP00000347742	3.8087229882233063e-06
SLC26A9	9606.ENSP00000356102	1.194285131572604e-06
SLC26A4	9606.ENSP00000494017	2.6912930063036358e-05
HSPB1	9606.ENSP00000248553	0.00011508005878179553
YWHAB	9606.ENSP00000361930	0.0002222086334114124
PRKAG3	9606.ENSP00000397133	8.884588029180903e-05
DERL1	9606.ENSP00000259512	4.390309056539997e-05
TJP1	9606.ENSP00000348416	0.00016614854681308754
PRKACA	9606.ENSP00000309591	0.00043573058132171267
RNF185	9606.ENSP00000320508	1.4300671479734775e-05
SLC26A8	9606.ENSP00000347778	6.065370575865461e-06
CTRC	9606.ENSP00000365116	1.067670800496854e-05
PRSS2	9606.ENSP00000488437	1.0001471202796613e-05
SLC26A3	9606.ENSP00000345873	1.6556824492918233e-05
KRT8	9606.ENSP00000449404	2.8935588988655648e-05
SLC12A2	9606.ENSP00000262461	1.9797713818975077e-05
PRKAG1	9606.ENSP00000323867	9.357388485585891e-05
SCNN1G	9606.ENSP00000300061	2.5574710386615153e-05
CLCA4	9606.ENSP00000359594	6.163908389349679e-06
DAB2	9606.ENSP00000313391	7.35074360879918e-05
GUCY2C	9606.ENSP00000261170	3.080783519764041e-05
PRKAB2	9606.ENSP00000254101	0.00010372407203286711
SLC26A5	9606.ENSP00000304783	8.06374246652592e-06
ABCG2	9606.ENSP00000498246	2.9695661794102154e-05
GUCA2B	9606.ENSP00000361662	6.1119086874445286e-06
SLC9A3R2	9606.ENSP00000408005	2.795465664772646e-05
BCAP31	9606.ENSP00000392330	4.563538491453915e-05
PRKAB1	9606.ENSP00000441369	9.840506620996751e-05
KCNJ1	9606.ENSP00000376432	2.2336311997243116e-05
GUCA2A	9606.ENSP00000349493	1.0754653383067401e-05
FLNA	9606.ENSP00000358866	0.00014404167615616738
PRKAG2	9606.ENSP00000287878	0.00011132080693804969
YWHAG	9606.ENSP00000306330	0.00014613853160408758
ANO1	9606.ENSP00000347454	1.7721275059328062e-05
SCNN1A	9606.ENSP00000353292	2.842986802072873e-05
PRKAA1	9606.ENSP00000346148	0.00011582477633257998
PRKACB	9606.ENSP00000359719	0.00042329481231380536
VCP	9606.ENSP00000351777	0.0002925495085386586
PRKAA2	9606.ENSP00000360290	0.00010717434356560148
SPINK1	9606.ENSP00000296695	1.6669954125408048e-05
AMFR	9606.ENSP00000290649	6.255107165336406e-05
RHOQ	9606.ENSP00000238738	5.715502225990662e-05
SLC26A6	9606.ENSP00000378920	8.409946914548656e-06
PDZK1	9606.ENSP00000342143	2.4922386201801184e-05
NEDD4L	9606.ENSP00000383199	0.00014384189735552538
USP10	9606.ENSP00000457411	4.306517364414613e-05
GORASP2	9606.ENSP00000234160	1.7723347451160473e-05
DNAJA1	9606.ENSP00000369127	4.9696776620981927e-05
EZR	9606.ENSP00000338934	0.00013386838433207364
KRT18	9606.ENSP00000373489	3.24391684839794e-05
YWHAZ	9606.ENSP00000379287	0.00028371353344876324
RFLNB	9606.ENSP00000331915	1.194285131572604e-06
ACTB	9606.ENSP00000494750	0.0011947901952118847
HDAC6	9606.ENSP00000365804	0.0005587033692411173
SLC9A3R1	9606.ENSP00000262613	6.281341278711604e-05
